sentiment	text
negative	продо не погасили кредит альфа банку http://t.co/RG7TVlnWyE
neutral	Формула льготное автокредитование сбербанк http://t.co/lOXAcycyWN
neutral	http://t.co/c73YvgIVm4 Газпромбанк оформить кредит в нижнем тагиле
neutral	Сколько по времени сбербанк одобряет кредит http://t.co/iwg4RgS5Uj
neutral	кредиты банка втб 24 http://t.co/pPWKwNKgQG
neutral	Деньги в кредит на авто втб 24 http://t.co/cIx6D06bG3
neutral	Автокредит от банка втб 24 http://t.co/8Nm0gpzDox
neutral	Райффайзен банк список должников по кредитам http://t.co/A8SwqQLm89
neutral	Туры в кредит с альфа банком
neutral	http://t.co/fZLidLErxa Хочу взять кредит втб 24 спб
neutral	В Махачкале задержали подозреваемого в убийстве главы местного отделения Россельхозбанка
neutral	кредитный продукт райфайзен банк г пермь http://t.co/GS68egcEC2
neutral	sberbank ru автокредит
neutral	уралсиб банк взять кредит http://t.co/52rOInhVxb
neutral	Ипотечный кредит 5 ставка банк москвы http://t.co/sTVOyoyPX6
neutral	Калькулятор ипотечного кредита ВТБ 24 http://t.co/jUtEIXnOiV
neutral	условия предоставления ипотечного кредитования сбербанк россии http://t.co/h4qwGoKMby
neutral	как оформить кредит в сбер банке http://t.co/9zXQ2h9ODz
neutral	платежка образец сбербанк госпошлина физическое лицо http://t.co/IEnwUhNrQg #лицо #сбербанк
neutral	"Россельхозбанк предлагает ""Быстрое решение"" для своих клиентов"
neutral	форд фокус новый кредит сбербанк http://t.co/PfMWJ1d3g9
neutral	http://t.co/s3yMv3be4s справка по форме банка сбербанк образец заполнения
neutral	http://t.co/30EcMSANMZ Сбербанк рязань кредит получить пенсионеру
neutral	кредит без залога банк райфайзен http://t.co/ygi32XQ1PV
neutral	кредит на квартиру в новостройке сбербанк http://t.co/87t51uhoIx
neutral	график платежей по кредиту сбербанк бланк http://t.co/33BI1kMwGj #по #бланк
neutral	Ноутбук в кредит через сбербанк с http://t.co/n7Vhj8i0Tz
neutral	Потребительский кредит сбербанк годовое обслуживание http://t.co/5khhul2T5I
neutral	кредиты на жилье россельхозбанк рмэ http://t.co/s43WGbCll2
neutral	россельхозбанк документы на кредит бланк http://t.co/BDRy9p5SH7 #на #бланк
neutral	Кредитование малого бизнеса в россельхозбанке рб http://t.co/lAsC58ztvi
neutral	http://t.co/OyV8q7sHMj Втб 24 взять кредит через интернет
neutral	Кредит в сбербанк в мама http://t.co/YyPGSOsxFh
neutral	инструкция режим торгов т сбер http://t.co/gm8WHQv2Ug #т #торгов
neutral	Целевая программа россельхозбанка кредит под залог приобретаемой техники http://t.co/uevWtjUyUM
neutral	Кредит в газпромбанке белгород онлайн заявка http://t.co/3p4bkWbscZ
neutral	http://t.co/5YZlfbqBCY Оформить кредит в альфа банке в сочи
neutral	получить кредит в банк москвы http://t.co/mutGzlKead
neutral	потребительский кредит в втб 24 самара http://t.co/xMQQVV3pD3
positive	1,5 потребительских кредита в час выдает Сбербанк дальневосточникам
negative	"RT @qazevycifyl: Власти США в ночь на четверг ввели новые санкции против российских компаний и банков, включая ВЭБ, Газпромбанк, ""Роснефть""…"
positive	Global Finance признал Сбербанк Онлайн лучшим розничным интернет банком
neutral	Райффайзенбанк миасс кредитный калькулятор http://t.co/6Ha8jf8UTK
positive	1,5 потребительских кредита в час выдает Сбербанк дальневосточникам #R
neutral	банк москвы потребительский кредит в чебоксарах http://t.co/P7yzFz8WTn
neutral	Россельхозбанк кредиты и проценты http://t.co/eEZcoK5ave
neutral	RT @xisebiwepuqo: Банк Москвы закрыл сделку по продаже контрольного пакета акций&amp;#8230;
neutral	инструкция клиент сбербанк установке http://t.co/SRectUZmjz по
neutral	кредиты в банках втб 24 http://t.co/BdUiKtrVPr
neutral	Взять кредит наличными газпромбанк http://t.co/BkqywL3s9V
neutral	Нецелевой ипотечный кредит сбербанк http://t.co/9Xi2dcTrww
neutral	россельхозбанк кредит на развитие сельского хозяйства http://t.co/mMXaV7V6Jh
neutral	http://t.co/9sZXaJKZfl Восколько лет можно взять кредит в альфа банк
neutral	инвест сбербанк как платить кредиты http://t.co/pgDMG07A8H
neutral	расчетный калькулятор по кредиту сбербанк россии http://t.co/bWJvGoaolM
neutral	бланки для перечисления через сбербанк http://t.co/F3D6VKHzWt #сбербанк #бланки
neutral	http://t.co/7QxYxgvUa4 Сбербанк как взять кредит на неотложные нужды
neutral	Кредит на неотложные нужды в россельхозбанке в ярославле http://t.co/Z9fCAiAVTt
neutral	Задолжники по кредитам втб 24 http://t.co/wI5OX1wBs9
neutral	http://t.co/xL1pJa3Bpp Оформить кредит на альфа банк
neutral	заявление в банк о взыскании по исполнительному листу образец сбербанк http://t.co/L7m4F6kVz7 #листу #по
positive	RT @vrcaa7faqe: Сбербанк поможет своему должнику построить Керченский мост
positive	RT @Gorbunovapalmes: ВТБ разместил еврооблигации на 350 млн швейцарских франков Банк ВТБ через зарегистрированную в Люксембурге дочернюю ко…
neutral	кредиты в банках втб 24 http://t.co/BvjNvDmziO
neutral	Банк москвы онлайн заявка на кредит наличными http://t.co/oecZNxg3Bq
neutral	Если забыла пароль на кредитную сбербанк http://t.co/HTqdrZQMmG
neutral	отсрочка ипотечного кредита сбербанк http://t.co/397tHJLaMZ
neutral	россельхозбанк уфа кредиты http://t.co/dm7PfOC96y
neutral	россельхозбанк смоленск инвестиционный кредит процентная ставка http://t.co/Z618nPKnz2
neutral	райффайзен банк кредитный отдел как позвонить туда http://t.co/UZLVr4Txna
neutral	ипотечное кредитование в втб 24 http://t.co/7EUIFOsosO
neutral	Райффайзен новогодная акция платите кредитной картой http://t.co/W8AO5w71nZ
neutral	Взять кредит в втб 24 узловая http://t.co/xGSsr3H2cE
neutral	http://t.co/dfHQWmxzwm Как взять кредит в альфа банк в городе омске
neutral	Как погасить кредит отп через сбербанк http://t.co/zpQmDPlb35
negative	RT @ura_ru: В Кургане прогремел взрыв в Сбербанке http://t.co/SA1xoYPFoE @sberbank
neutral	Образец заполнения анкеты для получения кредита в сбербанк http://t.co/tui3brVxdr
neutral	льготное автокредитование сбербанк россии сочи http://t.co/4qC8BnckLr
positive	В этом месяце мы бьем все рекорды по показателям :) в оставшиеся дни до конца месяца можно расслабиться ) #alfabank
neutral	Начальник управления потребительского кредитования втб 24 http://t.co/X9NlCVMvTI
positive	1 5 потребительских кредита в час выдает Сбербанк дальневосточникам
neutral	http://t.co/hMb03BLUFd Оформить кредит россельхозбанк
neutral	Анкета на кредит в банк москвы http://t.co/x1HlWfrPXJ
neutral	Рейтинг выдоча кредитов втб 24 http://t.co/RFlvnlTbR9
neutral	@bm_twit Банк Москвы отчитался о первых результатах в работе с региональными операторами http://t.co/aNDkTdnk3M #news #новости
neutral	Россельхозбанк белозерск ставка 9 9 по кредиту http://t.co/V5aUNYVTMI
negative	Еще 2,22% потерял в капитализации Сбербанк на финише торгов пятницы, показав в итоге недельную просадку на уровне 6,37%. С начала июля темп
positive	Как хорошо, что я не работаю в #сбербанк http://t.co/XunzKH6Roa
neutral	ставки кредита россельхозбанка для сельхозорганизаций http://t.co/nT6jkTp12z
neutral	Кредитный отдел сбербанк смоленск http://t.co/6Rtrc9MESe
positive	Выгодные путешествия с картами Visa Райффайзенбанка - Волжская Коммуна
positive	Журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком в России http://t.co/fNV8PDloSg
neutral	Потребительский кредит для ип в банке втб 24 http://t.co/HRfSGH64Pb
positive	Журнал Global Finance признал Сбербанк Онлайн  лучшим розничным интернет-банком в России
negative	RT @6lack_cat: @UkraineUA @LevMartin Альфа Банк и Сбербанк Роssии работают в Донецке как ни в чем не бывало. Пора закрывать эти лавочки наф…
neutral	Пришли менять мелочь @ikekcuk (@ Сбербанк - @sberbank w/ 2 others) https://t.co/Q3bNUqdNFz
negative	Новости сбербанк рф кредитные ставки повышение http://t.co/awSLIBlxl3
neutral	Подготовка к студенческой жизни так и прет @ Сбербанк России Дополнительный офис http://t.co/OPqWjMBXP9
neutral	Машина в кредит через сбербанк http://t.co/NezI6lrtaP
negative	@i_am_africo @sberbank К ногтю её. Если гаркнуть, они морду корчат но идут работать ))
negative	@Samuil_Shpeller @sberbank зачем, её б-г и так уже наказал работой в #сбербанк’е :-)))
neutral	@Stenokardiya @Vovan_bv13 вы че мой сбербанк грабите?
neutral	кредит доверительный сбербанк саратов http://t.co/gjL8tPzeFr
negative	@i_am_africo @Samuil_Shpeller @sberbank значит тех, кто работает на почте России наказывает....дьявол... http://t.co/ePVNV1kSKF
positive	Новости банков: Поволжский Сбербанк развивает сотрудничество с правительством Оренбургской области  #банки #кредиты
negative	Через интернет @sberbank не реагирует, придется идти опять к ним в офис, ругаться
neutral	банк москвы калининград потребительский кредит http://t.co/imhb8TeWUo
negative	Прибыль российских банков в Украине сократилась http://t.co/0aUGOx8xui #Альфа-банк #ВТБ банк #Проминвестбанк #Сбербанк #Сбербанк России
neutral	Кредит наличными пенсионерам сбербанк http://t.co/pBoPprw93R
neutral	"""Райффайзенбанк"": Новое решение ЦБ РФ имело эффект внезапности - РБК http://t.co/kHvMdZ7UtO"
neutral	кредитный банк втб 24 в москве http://t.co/BgaKiv4vNG
negative	@alfa_bank И дистанционное обслуживание на таких суммах не очень работает, если что.
neutral	банк уралсиб автокредит казань http://t.co/rNsmtPMrGz
positive	Райффайзенбанк расширяет сеть приема заявок на ипотеку  #жилье #ипотека
neutral	@Oksikom конечно) Сбербанк онлайн называется)
negative	"У @sberbank на вопросы в личном кабинете Сберонлайна все равно отвечают ""обратитесь в отделение"". В чем тогда смысл улучшеший?"
neutral	условия кредита в россельхозбанке http://t.co/5uQX5cFBKy
neutral	Выгоден ли кредит россельхозбанка http://t.co/RBlEsfuR4w
neutral	RT @vmakeev: @alfa_bank, @vkotovv, мы не хотим безопасность! Мы хотим покупать фигню в интернете!
neutral	Кредит в сбербанк россии http://t.co/IHt0eYqxFz
neutral	Банк втб 24 г омск потребительский кредит http://t.co/dALfP9oW8R
neutral	как взять кредит россельхозбанке http://t.co/RKWH3m60kD
neutral	Как взять кредит в россельхозбанке на покупку жилья http://t.co/m8RPM8S68B
neutral	RT @koffboy: Цифра дня: средняя зарплата в Газпромбанке превышает 375 тысяч рублей http://t.co/xNqSg4kCCA
negative	@ifat76  Но еще хуже - Банк Москвы и ВТБ - там совсем провал) Сайт ВТБ вообще работает пару дней в неделю))
neutral	как закрыть кредитную карту в альфа банке http://t.co/8FvfB8pQDP
neutral	Как подать заявку на кредит в втб 24 http://t.co/USW2hkvjw8
neutral	кредиты для физических лиц в райффайзен http://t.co/EYHdzlGYy6
positive	RT @IlyaNovo: Потратить «Спасибо» от Сбербанка в магазинах http://t.co/6cPwNlNFVE #сбербанк #спасибо #sb #sberbank #spasibo http://t.co/dHB…
neutral	завка на кредит в альфа банк http://t.co/CNU3CZkCrB
neutral	"Возьмите работать в газпромбанк ?""@koffboy: Цифра дня: средняя зарплата в Газпромбанке превышает 375 тысяч рублей http://t.co/t4ep9N4TxS"""
positive	Global Finance признал Сбербанк ОнЛ@йн лучшим розничным интернет-банком в России
positive	Объем розничного кредитования вырос во втором квартале на 40% — Сбербанк #R
neutral	оформить кредитную карту в альфа банке http://t.co/KopGCNSJyd
neutral	@sberbank ну вот в вашем отделении в Тольятти делают по другому. Закрыли и открыли новый (Управляй на 3 месяца).
neutral	автокредит втб 24 ростов на дону http://t.co/LKjUS45hqP
neutral	курс доллара в банках Красноярска  /  / Сбербанк России 34,75  36,05  / ОТП Банк 34,50  36,50  / Газпромбанк 34.. http://t.co/wRnixiCLfa
positive	RT @sberbank Цифра дня: 60 млн пользователей подключили услугу «Мобильный банк» Сб
neutral	банковский pos терминал сбербанк инструкция для продавца http://t.co/xNz49hDDMF #продавца
neutral	"Годовой отчет ИТ-монстра #КРОК: в прошлом #Сбербанк и ВТБ, впереди роботы и ""умные города"":) http://t.co/8dk54s3A0f"
neutral	банк уралсиб магнитогорск кредит http://t.co/m6skrx9Jeb
neutral	кредит на квартиру сбербанк омск http://t.co/pxJsLjwtKS
neutral	"В линейке ПИФов появился ОПИФ фондов ""Райффайзен - Долговые рынки развитых стран"""
neutral	"Пресс-релиз. ""Райффайзен Капитал"": Предлагает новую консервативную стратегию инвестирования"
neutral	Сложно ли получить кредитную карту альфа банка http://t.co/lz8Appn1zE
neutral	Россельхозбанк кредит под материнский капитал http://t.co/C7E6bBKMYD
positive	В Воложине открылся кредитный центр банка ВТБ: Банк ВТБ продолжает активно расширять свою сеть. Теперь восполь... http://t.co/zUy8V6Gmgg
neutral	@alfa_bank да? А мне 5-6 консультантов другие причины говорили...
positive	#новости Сбербанк России аккредитовал больше 10 тысяч новостроек: В базе аккредитова... http://t.co/T00zXaNvtk #недвижимость
neutral	Россельхозбанк чебоксары кредиты населению 12 http://t.co/MlCOx0F0nj
positive	RT @tacyqobuhar: http://t.co/f7OPp1ddca Сбербанк поможет своему должнику построить Керченский мост
neutral	банкомат для погашения кредита втб 24 http://t.co/fpFOLwxxxk
positive	Журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком России! А вы пользуетесь нашими онлайн услугами?
positive	http://t.co/1NJ0eigVJF Журнал Global Finance признал Сбербанк ОнЛайн лучшим розничным интернет-банком в России
negative	@sberbank приложение глючит а так бы пользовался постоянно
positive	RT @sberbank: Журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком России! А вы пользуетесь нашими онлайн услугам…
negative	Террористы в Луганске ограбили отделение «Райффайзен банк Аваль». 25 июля в 12.00 двадцать человек, вооруженных... http://t.co/dndyQ0JjFT
negative	RT @EuroMaydan: Террористы в Луганске ограбили отделение «Райффайзен банк Аваль». 25 июля в 12.00 двадцать человек, вооруженных... http://t…
negative	закрываю все счета. Не нужен мне такой банк (@ Альфа-Банк - @alfa_bank) https://t.co/CI16kNxcoL
positive	@sberbank пользуюсь, все устраивает
neutral	RT @ildacxfpounds: россельхозбанк саратов адрес http://t.co/8VCfSKI71K
neutral	Путешествие в Вену для клиентов Premium Banking Райффайзенбанка
negative	Патамушта ищё никто Дамбас на калени ни ставел!1 http://t.co/45m4iRDCIt  Бревики террористической ЛНР ограбили отделение «Райффайзен ба...
neutral	Обналичить деньги с кредитной карты альфа банка http://t.co/6do8ib6ZF6
neutral	Кредит на жильё без первоначального взноса сбербанк http://t.co/JBMANn3kk1
neutral	Центр ипотечного кредитования сбербанк тула телефоны http://t.co/jSSGUGQa1B
negative	В Луганске террористы ЛНР ограбили «Райффайзен банк Аваль» на несколько миллионов гривен —... http://t.co/qVkSlkCaGS
negative	Нападение на Сбербанк в Курганской области
positive	Журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет банком в России
neutral	Таунхаус в кредит втб 24 http://t.co/IqXNHAsjK9
neutral	Потребительские кредиты сбербанк тюмень http://t.co/I6nPwhvFQi
negative	«Банк Москвы» закроет свои офисы в Вологодской области
neutral	Какие процентные ставки по кредитам в втб 24 http://t.co/7lgiUBWga7
neutral	Кредит под ноль альфа банк http://t.co/G3pxkk1Knk
neutral	Банк москвы ставрополь кредиты http://t.co/4XPUhcWtag
negative	RT @InfoResist: В Луганске террористы ЛНР ограбили «Райффайзен банк Аваль» на несколько миллионов гривен | Info... http://t.co/qG8uADuoK0
negative	Про Сбербанк и отказ в жалобной книге - написать им на сайте с датами и именами. И про тупость туда же можно написать.
neutral	Кредит на свадьбу в банк москвы http://t.co/WmVqsUln7J
negative	В Луганске террористы ЛНР ограбили «Райффайзен банк Аваль» на несколько миллионов гривен http://t.co/EOgJC7LReI
neutral	Взять автокредит в райффайзен банк http://t.co/uckTS0ePyQ
neutral	Какие справки требуются для получения кредита в сбербанк http://t.co/BmDdKENUbd
neutral	Досрочное погашения кредита в втб 24 http://t.co/Gg3WFYfe9S
negative	RT @itass: СМИ: ЕС может внести в санкционный список Сбербанк и ВТБ http://t.co/yQJYaQTbIC
neutral	Краснодарский край сбербанк россии ипотечное кредитование http://t.co/t8VbSz8lcn
negative	RT @Sensovita: @sberbank Просто журнал не пользуется вашими услугами, никогда не искал тарифы на вашем сайте и не был дезинформирован вашим…
neutral	Кредитные программы райффайзен банк аваль http://t.co/bFJIo3SM0G
negative	ИТАР-ТАСС: СМИ: ЕС может внести в санкционный список Сбербанк и ВТБ http://t.co/LavGGsvK2J #Украина
neutral	@CrazyZorg @AlfabankBY Ураза-Байрам же. Выходной
neutral	Уралсиб банк кредитная карта в подарок вкладчику http://t.co/bniSJNIFdj
neutral	По какому адресу взять кредит в альфабанке http://t.co/TpVDuHwURO
negative	ЕС может внести в санкционный список Сбербанк и ВТБ http://t.co/2eAqCnuPGC
neutral	RT @ykioo7: Потребительский кредит в ВТБ 24 в Ижевске http://t.co/ou5A0Aqw57
negative	RT @Vinokurov12: ЕС может внести в санкционный список Сбербанк и ВТБ http://t.co/2eAqCnuPGC
negative	СМИ: ЕС может внести в санкционный список Сбербанк и ВТБ.Новые санкции, по данным газеты, резко ограничивают возможности крупнейших российс
neutral	Банк москвы расписание работы http://t.co/ZtEu8QSNCB
negative	RT @tvrain: Под санкции ЕС могут попасть Сбербанк и ВТБ http://t.co/iaG8wqO5IG
neutral	"@77dim2003 @MuhoZhuk Сбер уже столько раз ""обещали"" внести в  списки, а в р-те ""лупили"" по средним и мелким."
negative	Почему втб 24 не дает кредиты http://t.co/6LqNJFy4Cq
neutral	должностные инструкции работников россельхозбанков http://t.co/fL1clZ5T5I #должностные #работников
negative	RT @77dim2003: если Сбер и ВТБ реально попадут в санкционный список ЕС-будет реальный пипец.И для самих банков и для их клиентов((
neutral	Бланки россельхозбанк http://t.co/7M18LHIxio
neutral	Как оформить кредитную карту альфа банка через интернет http://t.co/W34FyG2adV
neutral	Бланки платежных поручений сбербанк http://t.co/nYxZ01VscB
negative	WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ
negative	@Vinokurov12 это точно, но Сбер то при чем? Он даже из Крыма ушел, чтобы повода не было. Удар прямой будет по миллионам людей, зачем?Глупо
neutral	Получить кредит пенсионерам россельхозбанк в омске http://t.co/KBT33yRB1z
negative	Газета.Ru - НОВОСТИ / WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ http://t.co/kEHrPR65VU с помощью @gazetaru
negative	В ЕС предварительно согласован новый санкционный список, включены Сбербанк и ВТБ | Новости Регионов России http://t.co/KcuNQOPkpw
neutral	Потребительские кредиты в магнитогорске сбербанк http://t.co/8yO3SVBW67
neutral	газпромбанк руководство в новосибирске http://t.co/hDA6TPtgZJ #газпромбанк #новосибирске
neutral	RT @APerevaloff: Сбербанк и ВТБ - это серьезно. По-взрослому уже. Запад есть Запад. Все по плану и системно. Step by step
negative	RT @krymrealii: СМИ: под санкции Евросоюза могут попасть крупнейшие российские банки Сбербанк и ВТБ http://t.co/51Xhqn9zur #крымреалии
negative	RT @GazetaRu: WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ #новости http://t.co/xDP5pn7nvY
neutral	RT @Pjatak: Если санкции против Сбер и ВТБ, то всё, капец Макдональдсу!
negative	RT @Dobrokhotov: Сбербанк и ВТБ под санкциями - это конец российской финансовой системе http://t.co/OkWJWknLvN
negative	RT @Serglvivua: В числе юридических лиц, попадающих под новые санкции ЕС, названы крупнейшие российские банки - Сбербанк и ВТБ.
negative	ЕС может внести в санкционный список Сбербанк и ВТБ http://t.co/q7NHBJbL3Y
negative	ЕС может внести в санкционный список Сбербанк и ВТБ http://t.co/8abysYIxUN И еще 5 человек, чьи имена пока не называются. ЕС не будет.
negative	29.07.2014 00:01 : Сбербанк и ВТБ могут оказаться в санкционных списках... #mol http://t.co/72CQ5EuRPK
neutral	Состояние кредита в банке втб 24 http://t.co/EAx00q1xSl
negative	WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ: Евросоюз готовится включить в санкционный список из-за... http://t.co/FBwTV0SPZ0
negative	Из газет: WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ
negative	#РЕТВИТНИ WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ: Евросоюз готовится включить в санкционный список из-за ситуации на ...
negative	WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ: Евросоюз готовится включить в санкционный список из-за ситуации на Украине в ...
negative	Новости: WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ
negative	#sledui Сбербанк и ВТБ могут оказаться в санкционных списках Евросоюза
neutral	Среднерусский Сбербанк увеличил эмиссию молодежных карт
negative	В числе юридических лиц, попадающих под новые санкции ЕС, названы крупнейшие российские банки - Сбербанк и ВТБ.
negative	RT @PogrebnyakAA: СМИ: ЕС может внести в санкционный список Сбербанк и ВТБ http://t.co/RjUvCrr4YP
neutral	дает ли сбербанк кредит на путешествие
neutral	Райфайзен банк волжский кредит http://t.co/5PSBDzJTTa
neutral	Кредитные карты Альфа банка в Ижевске http://t.co/nG2f3RuveN
negative	СМИ: ЕС может внести в санкционный список Сбербанк и ВТБ http://t.co/0TtWpNJNEf
neutral	Банк втб 24 потребительский кредит отзывы http://t.co/FlNWU9Zoha
neutral	Кредитный брокер сбербанк калуга http://t.co/Dfwdynv25w
negative	RT @EchoMskNews: Сбербанк и ВТБ могут оказаться в санкционных списках Евросоюза http://t.co/8dqrGKrZHO
negative	RT @EchoMskNews: Сбербанк и ВТБ попали в число компаний, против которых Евросоюз договорился ввести санкции из-за ситуации на Украине. http…
neutral	Банк москвы кредит процентов http://t.co/xJdn0KKAM2
neutral	Потребительский кредит россельхозбанк на преобретение жилья http://t.co/UZXF1TPnMY
negative	СМИ: В список санкций ЕС будут включены Сбербанк и ВТБ далее ..
negative	СМИ: ЕС может внести в санкционный список Сбербанк и ВТБ http://t.co/VL5vpAH4Db
negative	В список санкций ЕС будут включены Сбербанк и ВТБ
neutral	Телефон сбербанк россии москва кредит http://t.co/HVLdNxPWvb
neutral	Кредитный каркулятор втб 24 http://t.co/3WMGCQeBc1
neutral	Калькулятор расщитать авто кредит втб 24 http://t.co/Q9dQdPNYa7
negative	Под санкции ЕС попадут крупнейшие российские банки - Сбербанк и ВТБ  http://t.co/1fxzeRZsPS
neutral	RT @kyzipidoxam: Как взять кредит 50 т руб в альфа банк
negative	ur-help1.ru В список санкций ЕС будут включены Сбербанк и ВТБ:  http://t.co/RsB5pLkbUa
neutral	Справка для оформления кредита поручительства сбербанк скачать http://t.co/VQbV6YtWDl
neutral	Калькулятор автокредита банк москвы http://t.co/2SBLLD4dc4
neutral	“@koffboy: Бывает такое http://t.co/hVdeS1uqwY” #RW #sberbank
neutral	Как оплачивать кредит в валюте в альфа банк http://t.co/YifsvsQnW5
neutral	Автокредит втб 24 г таганрог http://t.co/eOUvIO4AjG
negative	RT @rayburncsuzanne: http://t.co/YUrLHcuC76 Сбербанк и ВТБ попадут под санкции Евросоюза
negative	WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ http://t.co/mcji8D6deR #InstantFollow #AutoFollowBack #IFollowBack #InstantFollowBack
neutral	Образец справки по форме банка банк москвы http://t.co/Z0EMOCAdT4
negative	Я.Новости | Финансы: WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ http://t.co/kfPTk1zWQv
negative	Я.Новости | Блоги: WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ http://t.co/kfPTk1zWQv
negative	WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ  #новость
neutral	Образец кредитного договора по ипотеке сбербанк http://t.co/F6l7A9eJ3z
negative	“@Dobrokhotov: Сбербанк и ВТБ под санкциями - это конец российской финансовой системе http://t.co/eQ4cfHB01G”
negative	В новый список санкций ЕС выйдут Сбербанк и ВТБ http://t.co/Tw5OvuZlRi
neutral	Бланк квитанции об оплате сбербанк http://t.co/zESwo4nHmL
positive	"""Сбербанк Онлайн"" признан лучшим интернет-банком в России. Больше того, Сбербанк выиграл в трех номинациях в рейтинге лучших банков в Центр"
negative	RT @EuromaidanPR_RU: В новый список санкций ЕС выйдут Сбербанк и ВТБ http://t.co/Tw5OvuZlRi
neutral	Откуда сбербанк узна т что есть ещ кредит http://t.co/GSFRL1xPgT
negative	СМИ: В санкционный список ЕС могут попасть Сбербанк и ВТБ - Комсомольская правда
negative	#новости СМИ: В санкционный список ЕС могут попасть Сбербанк и ВТБ - Комсомольская правда  #Россия
negative	СМИ: В санкционный список ЕС могут попасть Сбербанк и ВТБ - Комсомольская правда http://t.co/RaygJi4zv1 #Читай
negative	СМИ: В санкционном списке ЕС могут оказаться Сбербанк и ВТБ
negative	СМИ: В санкционном списке ЕС могут оказаться Сбербанк и ВТБ: Европейский союз готовится добавить еще пять чело... http://t.co/pxLlCVu3BC
neutral	Автокредит без справок о доходах сбербанк http://t.co/XkMH27WgxZ
neutral	Справка о доходах райфайзен банка http://t.co/LtwjGAsEos
negative	СМИ: Сбербанк и ВТБ попадут в санкционный список ЕС
negative	СМИ: Сбербанк и ВТБ попадут в санкционный список ЕС - Сбербанк и ВТБ могут попасть в санкционный список Евросоюза из-за ситуации на...
neutral	Россельхозбанк воронеж кредитный калькулятор http://t.co/Qag9S7YlBq
negative	Под санкции ЕС попадут крупнейшие российские банки - Сбербанк и ВТБ
neutral	Банк уралсиб в самаре образовательный кредит http://t.co/rUgqivdnOA
neutral	Если не платить кредит в втб 24 http://t.co/jpMGtl3J4M
neutral	Совершенствование бухгалтерского учета кредитных операций в оао россельхозбанк http://t.co/NwPDBBpXTZ
negative	@bezobrazya СМИ: Сбербанк и ВТБ попадут в санкционный список ЕС: Сбербанк ... http://t.co/aK8iiMyFMe #Взаимныйфолловинг
negative	@ViolaMazurova СМИ: Сбербанк и ВТБ попадут в санкционный список ЕС: Сберба... http://t.co/FIKnmPFzGk #Взаимныйфолловинг
negative	@SomViktoriy СМИ: Сбербанк и ВТБ попадут в санкционный список ЕС: Сбербанк... http://t.co/37TSFO0hoe #Взаимныйфолловинг
negative	СМИ: Сбербанк и ВТБ попадут в санкционный список ЕС: Сбербанк и ВТБ могут попасть в санкционный список Евросоюза из-за ситуации на Ук...
negative	#RT СМИ: Сбербанк и ВТБ попадут в санкционный список ЕС  #FF
negative	#RT СМИ: Сбербанк и ВТБ попадут в санкционный список ЕС http://t.co/4g4mhMSBr0 #followme
negative	RT @S_pjlowec: Сбербанк и ВТБ могут попасть в санкционный список Евросоюза из-за ситуации на Украине. Это резко ограничит деятельность кред…
neutral	Справка о доходах райффайзенбанка http://t.co/eLpJmjOj7v
neutral	Справка россельхозбанка потребительский кредит http://t.co/1g9aWry6n9
neutral	Кредит под нежилое помещение сбербанк http://t.co/fK4Tg9Bhqp
negative	СМИ: В санкционный список ЕС могут попасть Сбербанк и ВТБ http://t.co/p2xvAdhl52
neutral	Красноуфимск проценты кредит сроссельхозбанк http://t.co/vVtY8BskxD
negative	#вмире Под санкции ЕС попадут крупнейшие российские банки - Сбербанк и ВТБ:  ЕС расширил список лиц, к которым будут прим...  #Путин
neutral	Адреса банков для кредитов сбербанк http://t.co/bO92TeRwF2
neutral	Как рассчитать выплаты по кредиту сбербанк http://t.co/NJNV8ZwVdL
negative	Я.Новости | Блоги: СМИ: Сбербанк и ВТБ попадут в санкционный список ЕС http://t.co/QNTP7LPoQr
negative	29.07.2014 00:01: Сбербанк и ВТБ могут оказаться в санкционных списках Евросоюза. Об этом пишет WSJ. Как рассказал газете источник в диплом
neutral	Заявка кредит сбербанк нет ответа http://t.co/croEEsrnlg
neutral	Банк втб 24 кредитная карточка http://t.co/7ymlcJUq01
neutral	Потребительский кредит в райффайзенбанк http://t.co/NmXk9PsDoF
negative	СМИ: В санкционный список ЕС могут попасть Сбербанк и ВТБ
positive	#всеновости Банк ВТБ продолжает активно расширять свою сеть. Теперь воспользоваться услугами банка,... http://t.co/YVXZh5llPG #втему
neutral	Банк москвы кредит батурина http://t.co/igrX7fmSuq
